BEDRIJFSNAAM,VESTIGINGSPLAATS,VERSTREKT VOORSCHOT,waarsch_buitenland,provincie,provincie_code,gemeente,gemeente_code
 T GULDEN BOEK ( DE CHRISTELIJKE BOEKENCENTRALE ) B.V.,HOUTEN,22620,0,Utrecht,PV26,Houten,0321
!PET BOEKHANDEL B.V.,HOOGEVEEN,7995,0,Drenthe,PV22,Hoogeveen,0118
!PET HANDEL B.V.,HOOGEVEEN,3087,0,Drenthe,PV22,Hoogeveen,0118
!PET VISUELE COMMUNICATIE B.V.,HOOGEVEEN,20517,0,Drenthe,PV22,Hoogeveen,0118
"""AAN DE MAAS"" EXPLOITATIE B.V.",SCHIEDAM,19365,0,Zuid-Holland,PV28,Schiedam,0606
"""ACHT"" UITZENDBURO B.V.",BLEISWIJK,9828,0,Zuid-Holland,PV28,Lansingerland,1621
"""ACHT"" UITZENDBURO B.V.",BLEISWIJK,2211,0,Zuid-Holland,PV28,Lansingerland,1621
"""ACHT"" UITZENDBURO B.V.",BLEISWIJK,40146,0,Zuid-Holland,PV28,Lansingerland,1621
"""B.V. BOUW- EN AANNEMINGSBEDRIJF G. DE HAAN EN ZN"".",GARYP,38400,0,Fryslân,PV21,Tytsjerksteradiel,0737
"""BEMI"" AMUSEMENTSAUTOMATEN B.V.",ENSCHEDE,7128,0,Overijssel,PV23,Enschede,0153
"""BETONVERENIGING""",GOUDA,64860,0,Zuid-Holland,PV28,Gouda,0513
"""BIJ TANTE"" V.O.F.",ELST GLD,1464,0,Utrecht,PV26,Rhenen,0340
"""CAVE ROKIN"" WINE & LIQUOR SHOP V.O.F.",AMSTERDAM,1842,0,Noord-Holland,PV27,Amsterdam,0363
"""D.V.V. '09"" (DIRKLANDSE VOETBALVERENIGING 2009)",DIRKSLAND,330,0,Zuid-Holland,PV28,Goeree-Overflakkee,1924
"""DE ZEEMEEUW"" V.O.F.",NOORDWIJK ZH,41277,0,Zuid-Holland,PV28,Noordwijk,0575
"""DOUWES MACHINES B.V.""",HARKEMA,4491,0,Fryslân,PV21,Achtkarspelen,0059
"""HUIZE MAAS"" B.V.",GRONINGEN,72375,0,Groningen,PV20,Groningen,0014
"""LEGMEERVOGELS"" VERENIGING",UITHOORN,2700,0,Noord-Holland,PV27,Uithoorn,0451
"""LMC"" SERVICES B.V.",SCHIPHOL-RIJK,19752,0,Noord-Holland,PV27,Haarlemmermeer,0394
